sentence,profane
aduna kay pila ka igsoon,0
ang muzzle maoy taas ug gaspang sa isig ka kilid,0
kon gigutom ka  hala kaon,0
ug kini sila miuna ug didto maghulat kanamo sa troas,0
ang napatay na imperyal nga kalapati kay endemik sa pilipinas,0
kinsa imong kauban magselebrar sa pasko,0
sa walay duhaduha kamo mao ang katawohan,0
nangasawa siya ug gwapa kaayo nga babaye,0
sa kilid sa munisipyo ang ospital,0
kumusta ang imong klase sa pranses,0
ang tanan tao mibarug,0
sa nahauna nga adlaw adunay usa ka balaan nga pagkatigum walay bisan unsa nga bulohaton nga inalagad nga pagabuhaton ninyo,
maayong pagbalik gimingaw kaayo kami kanimo,0
wala na agnas ang iyang patay na lawas miskag pila na ka dekada ni naka lubong,0
gisugyot ba ni tom kadto,0
giingon sa gobernador nga gusto niyang mahatagan og higayon ang mga estudyane,0
ug ang tibook nga katawohan magapatalinghug,
kay ang usa ka tingog sa pagminatay nadungog gikan sa sion giunsa kita sa pagguba nangalibog kita sa hilabihan tungod kay gibiyaan ta ang yuta,0
gusto nakong mahimong piscasso,0
busa giingnan ko kamo nga mangamatay kamo diha sa inyong mga sala,1
tungod sa pagtoo si enoc gilalin ngadto sa langit aron siya dili makatagamtam sa kamatayon ug siya wala hikaplagi kay gikuha man siya sa dios sa wala pa siya kuhaa siya gipanghimatudan nga nakapahimuot sa dios,0
ug si abram dato kaayo sa kahayupan,0
unya ang matagusa kanila gihatagan ug maputi ug tagas nga bisti ug gisugo sa pagpahulay una sa makadiyot,0
ang kahimsog kay bahandi,0
ginatago niya iyang ulo sa buhangin nga mura ug ostrich,0
likayan ko usa unta ang pagsugod sa go north mao kini ang pagpatay sa pangasinan broadcaster virgilio maganes,1
ginabilin nimo kanako ang imong kutsilyo,0
at umalis si moises at bumalik kay jethro na kanyang biyenan,0
ngunit nanalo pa rin siya,0
mibudlat ang iyang mata sama sa tarsier sa kasuko,0
unsa moadto ba ta ug dili,0
permi ra kang nagantos sa imong kalisud kay tapulan ka,0
gikasubo pagayo ni john paul edralin ang pagkamatay sa pagumangkon niyang si steven o buknoy sa usa niya ka post sa social media,0
mamahimo ba tang magkita karong gabii,0
pausab pwede banha kaayo nga wa koy nadunggan na nuon,0
usa ka ginoo usa ka pagtoo usa ka bautismo,0
ayaw paggisi ang pinaakan sa lamok mamula kana,0
kay si jehova miingon mahitungod kanila sila sa pagkamatuod gayud mangamatay sa kamingawan ug walay nahabilin nga usa ka tawo kanila,0
adunay mga punoan sa korte sa kastilyo,0
ang salog sa payag kay gama sa kawayan,0
ang nasud miabot sa,
ug sa tapus ang tuig,0
busa gipangaliyupo ko kaninyo karon nga pahulay kamo dinhi karong gabii karon ako mahibalo nga unsa pay pulong ni jehova kanako,
si konserbatibo nga nagbantay sa doktrina nga kristuhanon,0
adunay rason si tomas masuko,0
wala nako to gibuhat og ako ra isa,0
ug gikuha ni jehova nga dios ang tawo ug gibutang siya tanaman sa eden,
natumba og iya ra ang puno,0
daghang pintura si silvestre sa iyang lawak,0
apan ang mga juvenie dili intersado,0
kini nga pulbos matunaw sa tubig,0
gusto mo og ilimnon,0
unya mingdali sila ug mipakanaug ang tagsatagsa sa iyang baluyot sa yuta,
ang imong sinulatan sama sa akoa,0
nihunong ang tartanelya sa tungod sa balay ni ariel,0
sila gihapon ang nagsabay sa usa pa ka adlaw,0
ito ba ay isang bastos sa pusa,0
dira nga gambalay nanarbaho ang akong amahan,0
walay tawo nga magaprenda sa galingan,
pakida ani ug federal express,0
ang buang diha sa iyang kasingkasing miingon walay dios mga dunot sila,1
mas nasuko ko kay gikatawan ko niya,0
naay imahinaryong higala ang akong anak nga baye,0
si tiquico akong gisugo nganha sa efeso,0
ug iyang gihatag kaniya si bilha nga iyang ulipon aron maasawa,
samtang ania pa ang yuta ang pagtanum ug ang pagani,
di ko nagastorya og lain nga sinultian,0
sa iyang too nga kamot mao ang tagna alang sa jerusalem,0
gihungitan ni danny ang bata og biko,0
dili siya nawong sa tinuod nga kapoy,0
wa pa ko nikaon og paniudto,0
ug gilaglag niya ang mga ciudad,
misulat si tom kang maria,0
usa ka noldo ba ang naa sa ilalom sa punuan,0
tingali dili niya masabtan ang ginaingon sa babaye,0
pahuman ang biyahe sa paris,0
ang imong mga ginaingon kay wala nay epekto sa akoa,0
unsa may buot pasabot nimo nga mahitabo,0
ginasingkahan ni tom si mary,0
nagkalainlain ang mga kinaon niini,0
naog ka sa imong kabayo,0
ug mitubag si abram o,
katong bataa mahinabangon sa mga tarbaho sa balay,0
wala ba ka gihuwat ni tom,0
aduna na kay duha ka libro,0
nagaluto ug itlog si leo,0
ug si samson miingon magpakamatay ako uban sa mga filistehanon ug siya miduko uban ang tibook niyang kusog ug ang balay nahugno sa ibabaw sa mga kadagkuan ug sa katawohan nga didto sa sulod busa ang mga tawo nga iyang napatay sa iyang pagkamatay labi pang daghan kay kanila nga iyang gipatay sa buhi pa siya,0
humana na ba kita,0
misulod siya sa iyang kwarto aron mopahulay,0
ug nanagsulti si miriam ug si aaron batok kang moises tungod sa babaye nga etiopiahanon nga iyang gipangasawa kay siya nangasawa sa babaye nga etiopiahanon,
dako to nga tabang,0
apan siya miingon nga mainiton gayud,0
kini mahimog gikan sa yano nga mga hulga sa ilang mga propesyonal nga karera hangtodmga hulga sa kamatayon,
wala kay makitan nga mali sa maskig kinsa,0
nangita ka sa imong susi,0
walay bisan kinsa nga perpekto,0
apan kong ikaw magapasidaan sa dautan,0
ginapakaon ni antonio si celeste og tinutong,0
ug sa nahurot na ang salapi sa yuta sa egipto,
hain man dapit ang imo,0
ug gihatag ni moises ang buhis,
ipadayun na takom imong baba uy,0
unsay buot mong ipasabot,0
wala koy oras karon,0
nakamata siya tung nitingog ang telepono,0
kinsa ang nagpakalat ana nga estoryatsismis,0
sa maong adlaw pagakanon kini walay igabilin gikan niini hangtud sa pagkabuntag ako mao si jehova,
puti ang balas didto sa kilid sa dagat,0
magkuha kamo ug padron sa tibook nga katilingban sa mga anak sa israel pinaagi sa ilang mga panimalay,
gamay na lang ang kinahanglan na buhatonon,0
sukad nga giluagan na usab ang pagbyahe sa mga motorsiklo,0
ug kon kini mangayog isda hatagan hinoon niyag bitin,0
sakit man pero kinahanglan nakong kalimtan ang tanan,0
nindot na nga tula,0
ganahan ko sa pakwan,0
apan sa motabok na kamo sa jordan,
naa didto si tom,0
pilay imong idad karon,0
gusto unta ko moadto kaso wala koy sakyanan,0
ang tuka kay mapulapula ug ang iris kay adunay pagkaputi,0
nag gabas napud ang mga panday,0
ug sila mingpanaw gikan sa iheabarim ug mingpahaluna sa dibongad,0
naglakaw ako sa parke,0
ang eksobiyolohiya kay estudyo sa kinabuhi sa espasyo,0
nagbasol siya nga tapolan siya,0
kini sila mao ang mga anak nga lalake ni zilpa,
dili ko katou saimoha,0
pagahimoon ni jehova ang ulan sa imong yuta nga abug ug abo gikan sa langit moulan kini sa ibabaw mo hangtud nga malaglag ka,
gakaon si pedro karon sa tsokolateriya sa baryo,0
ni kaon ug buko popsikel si chuck,0
siya mismo ni duaw didto,0
buot nako mahibalan ang mga detalye,0
mibalhin man o dili ang mga rate sa pagkamatay sa daghang mga puti nga iho nga mga iho,0
kondili sa dapit nga pagapilion ni jehova sa usa sa imong mga banay,
maayo ang iyang lemonada,0
nahimo siyang mas buangbuang,1
ug ikaw kinsa ka,0
nagasuot siya ug antipara,0
wala na siya dalagang ulay,0
puti og pula ang maskara,0
wala kabaw si tom na kinahanglan niya muadto gahapon,0
wala pa luto ang kan on,0
ang among propesor ang nagbayad para sa amoa tanan,0
ug si jehova mikunsad sa panganod,
ug siya miingon kaniya ang tanan mong gipamulong akong pagabuhaton,0
kini nga iring dili mag gukod sa mga ilaga,0
nakitan ni silvestre ang tartanelya sa parke,0
usa ka myembro sa abu sayyaf ang giingong namatay human sa engkwentro sa mga awtoridad sa lungsod sa sibuco,0
ug nahatabo niadtong ikaduha nga tuig,
ang mga anak nga mangatawo kanila sa ikatolo ka kaliwatan makasulod sa katilingban ni jehova,
sa balay siya gipanganak,0
ganahan sila nga mag iningles ang mga bata,0
ga sulob ba siyag antipara,0
ayaw na siya saligi,0
gina pang hambog tika,0
ug bisan kinsa nga dili magabuhat sa kasugoan sa imong dios,0
ni melicha si jonathan ni sebanias si jose,0
siyopaw na bolabola ang ganahan ni wanda,0
kinahanglan nako og kutsilyo,0
ug kadtong pagalukaton mo gikan kanimo mao ang may kagulangon nga gikan sa usa ka bulan,
tibuok balay jud ni tom ang naguba,0
ug miingon ang tawo mingpahawa sila dinhi ug hingdunggan ko sila nga nanagingon mangadto kita sa dotham ug si jose misubay sa iyang mga igsoon,
ikaw ang hinungdan sa tanang mga kalisdanan sa imong grupo,0
ug ang sacerdote magahalad sa usa ka book alang sa haladtungodsasala,
nagdahom na si tom nga kini mahitabo,0
nagluto og balanghoy sa kaldero,0
ning lingkod siya daplin sa sapa,0
kong siya maghalad niini sa paghimo sa haladsapasalamat,
ganahan ko sa imong mga samin,0
gibaril ug napatay kaniadtong huwebes si philippine charity sweepstakes office pcso board secretary wesley barayuga sa syudad sa mandaluyong,0
kini mao ang mga panimalay sa mga rubenhanon ug sila nga mga naisip may kapatan ug tolo ka libo pito ka gatus ug katloan,
ug kong niining tanan dili pa kamo magpatalinghug kanako,
ug si david miingon kang nathan ako nakasala batok kang jehova ug si nathan miingon kang david si jehova usab nagpapas sa imong sala ikaw dili mamatay,0
giila siya isip pinakauna nga bayaning pilipino,0
pagsugod na ug dagan,0
ug miingon siya tanawa karon,0
ako molugsong uban kanimo ngadto sa egipto,
ang mga anak nga lalake ni simeon sunod sa ilang mga panimalay kang nemuel,0
hangtud nga ako moanhi ug dadon ko kamo ngadto sa usa ka yuta sama sa inyong kaugalingong yuta,0
mas ganahan sila sa spaghetti sa restawran,0
nagaluto ug bulad si leo,0
siya miuyon sa akong opinyon,0
wa ko kabalo kon unsa nay nahitabo,0
malisud ingon sa gibuhat mo,0
dili gusto ni tom nga pakaslan si maria,0
iyahat ang inyong mga mata sa kalangitan,0
dili ko pwede mokaon og karne,0
ayaw gyud ni buhata,0
mga  ang gikataho nga namatay,
gisundog niya ang mga gibuhat ni van gogh,0
niundang na ang amahan sa pagpanigarilyo,0
ningpalit ug daghang bulak si maria,0
sa kaadlawon moadto ko sa dagat,0
ug sa diha nga ang mga tawo sa israel nga didto sa laing pikas sa walog,0
naa koy nadungog nga lahing tingog,0
dili jud nako masabtan kung ngano,0
ang alamat adunay usa ka panahon sa sayong bahin sa ikang siglo,
